s13,s48,s52,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,label,F,M,N,Y,N_1,Y_1,A,B,C,D,A_1,B_1,C_1,D_1,A_2,B_2,C_2,D_2,A_3,B_3,0,C_3,x,~1,a,b,c,d,op: A,op: B,op: C,op: D
1,1,1,7.319978324,1.071222393,3,6.029995992999999,-32.57498271,0.0074183780000000015,-9.283087028999999,1.540995814,3.014121914,4.131867607,1.6079201969999999,0,0,0.289908899,4,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
0,1,1,6.66709686,0.6995838590000001,6,2.352072567,-32.39489219,0.014828377,-9.174026487,1.494713568,5.206950484,3.802947403,1.5115674959999998,0,0,0.390464551,3,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1,1,1,16.57119542,2.50494632,8,6.776169115,-32.57645463,0.011080328,-8.851669373,1.7834818330000002,10.57090097,11.53383376,1.569515758,0,0,0.304088084,3,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
1,1,1,12.7698112,1.90870805,6,5.917154458,-32.50809137,0.01829766,-8.879981243,1.610560655,3.207626897,3.018300317,1.670648035,0,0,0.195859607,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,0,1,16.06569041,2.46355944,3,6.765048035,-32.34564527,0.023098004,-9.042805747000001,1.809222179,7.7580789060000015,6.303107175,1.775067938,0,0,0.683758743,2,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
1,1,1,9.757732455,1.438934454,3,2.625348972,-32.33279223,0.010292213,-9.279660624,1.473126421,6.7736392310000015,5.689615568,1.773686685,0,0,0.665769458,2,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1,1,1,16.88503771,2.398453972,7,6.905445161,-32.71217351,0.008283512,-8.882354936,1.9365174969999999,3.744060198,7.800033761,1.705584091,0,0,0.571594763,2,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
1,1,1,6.835087787000001,1.4649085240000002,6,5.939774646,-32.86187993,0.017045945,-8.969290258,1.521695125,3.230000866,6.069510642000001,1.7309413809999998,0,0,0.5249832870000001,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,1,1,12.86980784,1.4319379909999999,3,2.893438647,-32.7728268,0.015737218,-9.178201722999999,1.496765,3.687983487,9.779860531,1.708442465,0,0,0.369750205,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
1,1,1,16.07232987,2.276107375,8,2.373153832,-32.44763045,0.010742522,-8.746542362000001,1.917816824,9.427590898,7.810745894,1.6977287540000001,0,0,0.011406933000000001,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
1,1,1,9.8985645,1.443818697,1,2.708551663,-32.35339022,0.010429328,-9.178125305,1.470414584,3.879805186,5.674653452,1.549701971,0,0,0.103924805,3,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
